objectid,filename,image_thumb,title,date,field-date,theatre-name,playwright,subject,source,location,url,rights,rightsstatement
BP_TRH_0002,https://archive.org/details/BP_TRH_0002/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0002,King Lear and his Three Daughters; The Lyar,1801-11-16,1801-11-16,Theatre Royal; Hull,Wm. Shakespeare; S. Foote,historical play; farce in three acts,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0002,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0003,https://archive.org/details/BP_TRH_0003/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0003,"The Rivals, or A Trip to Bath; Turnpike Gate",1801-11-17,1801-11-17,Theatre Royal; Hull,R. B. Sheridan; T. Knight,comedy; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0003,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0004,https://archive.org/details/BP_TRH_0004/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0004,"The Prize or 1, 5, 3, 8; Wags of Windsor; OBI: or, Three Finger'd Jack",1802-01-20,1802-01-20,Theatre Royal; Hull,P. Hoare; [unknown]; J. Fawcett,musical farce; musical farce; pantomime,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0004,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0005,https://archive.org/details/BP_TRH_0005/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0005,Birth-day; Who's the Dupe; The Deserter,1802-01-27,1802-01-27,Theatre Royal; Hull,T. J. Dibdin; Mrs. H. Cowley; C. Dibdin,comedy; farce in two acts; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0005,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0006,https://archive.org/details/BP_TRH_0006/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0006,The Beaux Stratagem; The Lying Valet,1803-01-18,1803-01-18,Theatre Royal; Hull,G. Farquhar; D. Garrick,comedy; humerous farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0006,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRCG_0008,https://archive.org/details/BP_TRCG_0008/mode/2up?view=theater,https://archive.org/services/img/BP_TRCG_0008,"John Bull; Or, An Englishman's Fire-side; The Flitch of Bacon",1803-04-28,1803-04-28,Theatre Royal; Covent Garden,"G. Colman, the younger; [unknown]",comedy; comic opera,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box02, Folder_07",https://archive.org/details/BP_TRCG_0008,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0007,https://archive.org/details/BP_TRH_0007/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0007,Tancred & Sigismunda; A Tale of Mystery,1803-11-14,1803-11-14,Theatre Royal; Hull,J. Thomson; T. Holcroft,tragedy; melodrame,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0007,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0008,https://archive.org/details/BP_TRH_0008/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0008,"Pizarro; or, The Spaniards in Peru; The Deuce is in Him",1803-11-21,1803-11-21,Theatre Royal; Hull,T. B. Sheridan(?); G. Colman,[unknown]; comedy,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0008,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0009,https://archive.org/details/BP_TRH_0009/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0009,Know your own Mind; Child of Nature,1803-12-02,1803-12-02,Theatre Royal; Hull,A. Murphy; Mrs. E. Inchbald,comedy; comedy,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0009,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0010,https://archive.org/details/BP_TRH_0010/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0010,"The Dramatist; or, Stop Him Who Can?; Paul and Virginia",1803-12-09,1803-12-09,Theatre Royal; Hull,F. Reynolds; J. Cobb,comedy; [unknown],"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0010,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0011,https://archive.org/details/BP_TRH_0011/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0011,Birth-day; Wags of Windsor; Paul and Virginia,1803-12-30,1803-12-30,Theatre Royal; Hull,T. J. Dibdin; [unknown]; J. Cobb,comedy; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0011,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0012,https://archive.org/details/BP_TRH_0012/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0012,Pizarro; or The Spaniards in Peru; Agreeable Surprise,1804-01-04,1804-01-04,Theatre Royal; Hull,R. B. Sheridan(?); J. O'Keeffe,[unknown]; musical entertainment,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0012,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0013,https://archive.org/details/BP_TRH_0013/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0013,"Jealous Wife; Black Forest; or, The Natural Son",1804-01-06,1804-01-06,Theatre Royal; Hull,G. Colman; [unknown],comedy; pantomime,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0013,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0014,https://archive.org/details/BP_TRH_0014/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0014,"Othello; Gretna Green; Lover's Quarels; Or, Like Master Like Man",1804-01-20,1804-01-20,Theatre Royal; Hull,Wm. Shakespeare; C. Stuart; T. King,tragedy; musical farce; farce in one act,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0014,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0015,https://archive.org/details/BP_TRH_0015/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0015,Suspicious Husband; The Adopted Child,1804-01-24,1804-01-24,Theatre Royal; Hull,B. Hoadly; S. Birch,comedy; musical entertainment,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0015,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0016,https://archive.org/details/BP_TRH_0016/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0016,He wou'd be a Soldier; Netley Abbey; Turnpike Gate,1804-01-25,1804-01-25,Theatre Royal; Hull,F. Pilon; W. Pearce; T. Knight,comedy; comic opera; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0016,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0017,https://archive.org/details/BP_TRH_0017/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0017,Lover's Vows; Or The Natural Son; A Tale of Mystery,1804-02-01,1804-02-01,Theatre Royal; Hull,B. Thomson; T. Holcroft,comedy; melodrame,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0017,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0018,https://archive.org/details/BP_TRH_0018/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0018,Macbeth; The Oracle; The Rival Soldiers,1804-02-03,1804-02-03,Theatre Royal; Hull,Wm. Shakespeare; Mrs. S.-M. Cibber; [unknown],tragedy; one act piece; musical piece,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0018,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0019,https://archive.org/details/BP_TRH_0019/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0019,Country Girl; Wedding Day; Highland Reel,1804-02-07,1804-02-07,Theatre Royal; Hull,D. Garrick; [unknown]; J. O'Keeffe,comedy; farce; comic opera,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0019,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0020,https://archive.org/details/BP_TRH_0020/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0020,Hear both Sides; All the World's a Stage,1804-02-08,1804-02-08,Theatre Royal; Hull,T. Holcroft; I. Jackman,comedy; farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0020,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0021,https://archive.org/details/BP_TRH_0021/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0021,"Wife of two Husbands; The Fairy; Or, Britannia's Triumph",1804-02-14,1804-02-14,Theatre Royal; Hull,J. Cobb; [unknown],musical drama; pantomime,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0021,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0022,https://archive.org/details/BP_TRH_0022/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0022,"John Bull; Or, An Englishman's Fire Side; The Deuce is in Him",1804-02-17,1804-02-17,Theatre Royal; Hull,"G. Colman, the younger; G. Colman",comedy; comedy,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0022,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0023,https://archive.org/details/BP_TRH_0023/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0023,Marriage Proposal; Love Laughs at Locksmiths,1804-02-21,1804-02-21,Theatre Royal; Hull,J. T. Allingham; G. Colman,comedy; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0023,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0024,https://archive.org/details/BP_TRH_0024/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0024,Hamlet; Prince of Denmark; Inkle and Yarico,1804-02-22,1804-02-22,Theatre Royal; Hull,Wm. Shakespeare; G. Colman,tragedy; comic opera,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0024,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0025,https://archive.org/details/BP_TRH_0025/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0025,"Wife of two Husbands; The Fairy; Or, Britannia's Triumph",1804-02-27,1804-02-27,Theatre Royal; Hull,J. Cobb; [unknown],musical drama; pantomime,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0025,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0026,https://archive.org/details/BP_TRH_0026/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0026,Every One has his Fault; Love Laughs at Locksmiths,1804-02-28,1804-02-28,Theatre Royal; Hull,Mrs. E. Inchbald; G. Colman,comedy; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0026,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0027,https://archive.org/details/BP_TRH_0027/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0027,Soldier's Daughter; The Paragraph,1804-11-05,1804-11-05,Theatre Royal; Hull,A. Cherry; P. Hoare,comedy; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0027,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0028,https://archive.org/details/BP_TRH_0028/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0028,Guilty or not Guilty?; Poor Soldier,1804-11-08,1804-11-08,Theatre Royal; Hull,T. J. Dibdin; J. O'Keeffe,comedy; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0028,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0029,https://archive.org/details/BP_TRH_0029/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0029,Wife of two Husbands; Old Maid,1804-11-09,1804-11-09,Theatre Royal; Hull,J. Cobb; A. Murphy,musical drama; farce in two acts,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0029,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0030,https://archive.org/details/BP_TRH_0030/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0030,King Henry IV with the Humours of Sir John Falstaff; The Paragraph,1804-11-12,1804-11-12,Theatre Royal; Hull,Wm. Shakespeare; P. Hoare,historical; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0030,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0031,https://archive.org/details/BP_TRH_0031/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0031,"The Rivals; Or, A Trip to Bath; Prisoner at Large",1804-11-13,1804-11-13,Theatre Royal; Hull,R.B. Sheridan; J. O'Keeffe,comedy; comedy,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0031,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0032,https://archive.org/details/BP_TRH_0032/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0032,King Henry IV with the Humours of Sir John Falstaff; Highland Reel,1804-11-15,1804-11-15,Theatre Royal; Hull,Wm. Shakespeare; J. O'Keeffe,historical; comic opera,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0032,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0033,https://archive.org/details/BP_TRH_0033/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0033,Soldier's Daughter; The Paragraph,1804-11-20,1804-11-20,Theatre Royal; Hull,A. Cherry; S. Birch,comedy; musical entertainment,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0033,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0034,https://archive.org/details/BP_TRH_0034/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0034,Othello; Raising the Wind,1804-11-22,1804-11-22,Theatre Royal; Hull,Wm. Shakespeare; J. Kenney,tragedy; farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0034,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0035,https://archive.org/details/BP_TRH_0035/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0035,Guilty or not Guilty?; Love Laughs at Locksmiths,1804-11-23,1804-11-23,Theatre Royal; Hull,T. J. Dibdin; G. Colman,comedy; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0035,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0036,https://archive.org/details/BP_TRH_0036/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0036,Speed the Plough; The Fairy; Or Britannia's Triumph,1804-11-26,1804-11-26,Theatre Royal; Hull,T. Morton; [unknown],comedy; pantomime,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0036,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0037,https://archive.org/details/BP_TRH_0037/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0037,"John Bull; Or, An Englishman's Fire Side; The Deuce is in Him",1804-11-27,1804-11-27,Theatre Royal; Hull,"G. Colman, the younger; P. Hoare",comedy; comic opera,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0037,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0038,https://archive.org/details/BP_TRH_0038/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0038,King Richard III; Counterfeit,1804-11-29,1804-11-29,Theatre Royal; Hull,Wm. Shakespeare; A. Franklin,tragedy; farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0038,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0039,https://archive.org/details/BP_TRH_0039/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0039,Soldier's Daughter; The Paragraph,1804-11-30,1804-11-30,Theatre Royal; Hull,A. Cherry; P. Hoare,comedy; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0039,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0040,https://archive.org/details/BP_TRH_0040/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0040,Pizarro; or The Spaniards in Peru; Agreeable Surprise,1804-12-03,1804-12-03,Theatre Royal; Hull,R. B. Sheridan; Mrs. E. Inchbald,[unknown]; farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0040,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0041,https://archive.org/details/BP_TRH_0041/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0041,A New Way to Pay Old Debts; Love Laughs at Locksmiths,1804-12-04,1804-12-04,Theatre Royal; Hull,P. Massinger/J. C. Kemble; G. Colman,farce; comedy,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0041,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0042,https://archive.org/details/BP_TRH_0042/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0042,"A Cure for Heart Ache; Bon Ton; Or, High Life Above Stairs",1804-12-10,1804-12-10,Theatre Royal; Hull,T. Morton; D. Garrick,comedy; farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0042,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0043,https://archive.org/details/BP_TRH_0043/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0043,"Duenna; Or, The Double Elopement; Raymond & Agnes; Or, The Bleeding Nun",1804-12-11,1804-12-11,Theatre Royal; Hull,R. B. Sheridan; [unknown],comic opera; pantomime,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0043,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0044,https://archive.org/details/BP_TRH_0044/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0044,"Wild Oats; Or, The Strolling Gentleman; The Honest Yorkshireman; The Register Office",1804-12-14,1804-12-14,Theatre Royal; Hull,J. O'Keeffe; H. Carey; [unknown],comedy; farce; dramatic satire,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0044,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0045,https://archive.org/details/BP_TRH_0045/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0045,Heir at Law; A Tale of Mystery,1804-12-18,1804-12-18,Theatre Royal; Hull,"G. Colman, the younger; T. Holcroft",comedy; melodrame,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0045,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0046,https://archive.org/details/BP_TRH_0046/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0046,The Young Quaker; Irishman in London; Of Age To-Morrow,1804-12-21,1804-12-21,Theatre Royal; Hull,J. O'Keeffe; W. Macready; T. J. Dibdin,melodrame; comedy; farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0046,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0047,https://archive.org/details/BP_TRH_0047/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0047,"Pizarro; Or, The Spaniards in Peru; Love Laughs at Locksmiths",1804-12-27,1804-12-27,Theatre Royal; Hull,R. B. Sheridan; G. Colman,[unknown]; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_02",https://archive.org/details/BP_TRH_0047,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
